Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,Kurt Abbott,27,FLA,NL,109,349,320,37,81,18,7,8,33,3,3,22,99,.253,.307,.428,.735,95,137,7,3,4,0,1,654H,abbotku01
2,Bobby Abreu*,22,HOU,NL,15,24,22,1,5,1,0,0,1,0,0,2,3,.227,.292,.273,.564,56,6,1,0,0,0,0,/H79,abreubo01
3,Terry Adams,23,CHC,NL,69,7,6,0,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,-58,0,0,0,0,0,0,1,adamste01
4,Joel Adamson*,24,FLA,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,adamsjo02
5,Mike Aldrete*,35,TOT,AL,63,123,108,16,23,6,0,6,20,0,1,14,19,.213,.301,.435,.736,84,47,4,0,0,1,0,HD7/391,aldremi01
6,Mike Aldrete*,35,CAL,AL,31,46,40,5,6,1,0,3,8,0,0,5,4,.150,.239,.400,.639,59,16,3,0,0,1,0,H/D793,aldremi01
7,Mike Aldrete*,35,NYY,AL,32,77,68,11,17,5,0,3,12,0,1,9,15,.250,.338,.456,.794,98,31,1,0,0,0,0,/D3H791,aldremi01
8,Manny Alexander,25,BAL,AL,53,73,68,6,7,0,0,0,4,3,3,3,27,.103,.141,.103,.244,-37,7,2,0,2,0,0,H6/457D1,alexama02
9,Edgardo Alfonzo,22,NYM,NL,123,407,368,36,96,15,2,4,40,2,0,25,56,.261,.304,.345,.649,75,127,8,0,9,5,2,45H6,alfoned01
10,Luis Alicea#,30,STL,NL,129,447,380,54,98,26,3,5,42,11,3,52,78,.258,.350,.382,.731,94,145,4,5,4,6,10,*4H,alicelu01
11,Jermaine Allensworth,24,PIT,NL,61,260,229,32,60,9,3,4,31,11,6,23,50,.262,.337,.380,.717,87,87,2,4,2,2,0,8/H,allenje01
12,Roberto Alomar#,28,BAL,AL,153,699,588,132,193,43,4,22,94,17,6,90,65,.328,.411,.527,.938,136,310,14,1,8,12,10,*4D/H,alomaro01
13,Sandy Alomar,30,CLE,AL,127,444,418,53,110,23,0,11,50,1,0,19,42,.263,.299,.397,.696,75,166,20,3,2,2,0,*2/H3,alomasa02
14,Moises Alou,29,MON,NL,143,598,540,87,152,28,2,21,96,9,4,49,83,.281,.339,.457,.797,107,247,15,2,0,7,7,*97/8H,aloumo01
15,Garvin Alston,24,COL,NL,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,alstoga01
16,Tavo Alvarez,24,MON,NL,11,5,4,0,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,164,2,0,0,1,0,0,1,alvarta01
17,Rich Amaral,34,SEA,AL,118,369,312,69,91,11,3,1,29,25,6,47,55,.292,.392,.356,.748,93,111,6,5,4,1,0,78H43/D95,amarari01
18,Ruben Amaro#,31,PHI,NL,61,130,117,14,37,10,0,2,15,0,0,9,18,.316,.380,.453,.833,120,53,3,3,1,0,0,H9/83,amaroru02
19,Brady Anderson*,32,BAL,AL,149,687,579,117,172,37,5,50,110,21,8,76,106,.297,.396,.637,1.034,156,369,11,22,6,4,1,*8/HD,anderbr01
20,Garret Anderson*,24,CAL,AL,150,642,607,79,173,33,2,12,72,7,9,27,84,.285,.314,.405,.719,82,246,22,0,5,3,5,*7/98HD,anderga01
21,Shane Andrews,24,MON,NL,127,414,375,43,85,15,2,19,64,3,1,35,119,.227,.295,.429,.724,87,161,2,2,0,2,8,*5/H,andresh01
22,Eric Anthony*,28,TOT,NL,79,218,185,32,45,8,0,12,22,0,2,32,56,.243,.353,.481,.834,112,89,3,0,0,1,2,9H7/8,anthoer01
23,Eric Anthony*,28,CIN,NL,47,145,123,22,30,6,0,8,13,0,1,22,36,.244,.359,.488,.846,121,60,2,0,0,0,2,97H,anthoer01
24,Eric Anthony*,28,COL,NL,32,73,62,10,15,2,0,4,9,0,1,10,20,.242,.342,.468,.810,94,29,1,0,0,1,0,H9/87,anthoer01
25,Alex Arias,28,FLA,NL,100,246,224,27,62,11,2,3,26,2,0,17,28,.277,.335,.384,.719,92,86,2,3,1,1,1,5H6/34,ariasal01
26,George Arias,24,CAL,AL,84,274,252,19,60,8,1,6,28,2,0,16,50,.238,.284,.349,.633,61,88,6,0,6,0,2,5/HD,ariasge01
27,Andy Ashby,28,SDP,NL,25,55,45,6,11,5,0,0,5,0,0,0,13,.244,.239,.356,.595,59,16,0,0,9,1,0,1/H,ashbyan01
28,Billy Ashley,25,LAD,NL,71,133,110,18,22,2,1,9,25,0,0,21,44,.200,.331,.482,.813,118,53,3,1,0,1,1,7H,ashlebi01
29,Pedro Astacio,27,LAD,NL,35,77,68,1,6,0,0,0,3,0,0,1,28,.088,.101,.088,.190,-48,6,0,0,8,0,0,1,astacpe01
30,Derek Aucoin,26,MON,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,aucoide01
31,Rich Aude,24,PIT,NL,7,16,16,0,4,0,0,0,1,0,0,0,8,.250,.250,.250,.500,31,4,0,0,0,0,0,/3H,auderi01
32,Rich Aurilia,24,SFG,NL,105,352,318,27,76,7,1,3,26,4,1,25,52,.239,.295,.296,.590,60,94,1,1,6,2,2,64/H,aurilri01
33,Brad Ausmus,27,TOT,MLB,125,427,375,46,83,16,0,5,35,4,8,39,72,.221,.302,.304,.606,59,114,8,5,6,2,1,*2H,ausmubr01
34,Brad Ausmus,27,SDP,NL,50,166,149,16,27,4,0,1,13,1,4,13,27,.181,.261,.228,.489,34,34,4,3,1,0,0,2/H,ausmubr01
35,Brad Ausmus,27,DET,AL,75,261,226,30,56,12,0,4,22,3,4,26,45,.248,.328,.354,.682,73,80,4,2,5,2,1,2/H,ausmubr01
36,Steve Avery*,26,ATL,NL,24,50,46,5,11,4,1,2,11,0,0,1,12,.239,.245,.500,.745,87,23,1,0,1,2,0,1,averyst01
37,Bobby Ayala,26,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,ayalabo01
38,Joe Ayrault,24,ATL,NL,7,6,5,0,1,0,0,0,0,0,0,0,1,.200,.333,.200,.533,43,1,1,1,0,0,0,/2,ayraujo01
39,Carlos Baerga#,27,TOT,MLB,126,544,507,59,129,28,0,12,66,1,1,21,27,.254,.293,.381,.674,72,193,23,9,2,5,0,43/5H,baergca01
40,Carlos Baerga#,27,CLE,AL,100,453,424,54,113,25,0,10,55,1,1,16,25,.267,.302,.396,.698,76,168,15,7,2,4,0,4,baergca01
41,Carlos Baerga#,27,NYM,NL,26,91,83,5,16,3,0,2,11,0,0,5,2,.193,.253,.301,.554,49,25,8,2,0,1,0,3/5H4,baergca01
42,Jeff Bagwell,28,HOU,NL,162,719,568,111,179,48,2,31,120,21,7,135,114,.315,.451,.570,1.021,178,324,15,10,0,6,20,*3,bagweje01
43,Cory Bailey,25,STL,NL,51,4,1,2,0,0,0,0,0,0,0,2,0,.000,.667,.000,.667,97,0,0,0,1,0,0,1,baileco01
44,Roger Bailey,25,COL,NL,24,25,19,4,5,0,1,1,5,0,0,3,4,.263,.364,.526,.890,113,10,0,0,3,0,0,1,bailero01
45,Harold Baines*,37,CHW,AL,143,572,495,80,154,29,0,22,95,3,1,73,62,.311,.399,.503,.902,132,249,20,1,0,3,7,*DH,baineha01
46,Brian Banks#,25,MIL,AL,4,8,7,2,4,2,0,1,2,0,0,1,2,.571,.625,1.286,1.911,362,9,0,0,0,0,0,/73H,banksbr01
47,Brian Barber,23,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,barbebr02
48,Bret Barberie#,28,CHC,NL,15,37,29,4,1,0,0,1,2,0,1,5,11,.034,.176,.138,.314,-16,4,0,0,3,0,0,/H456,barbebr01
49,Tony Barron,29,MON,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H,barroto01
50,Kimera Bartee#,23,DET,AL,110,247,217,32,55,6,1,1,14,20,10,17,77,.253,.308,.304,.612,56,66,1,0,13,0,0,8H/7D9,barteki01
51,Shawn Barton,33,SFG,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,bartosh01
52,Rich Batchelor,29,STL,NL,11,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,batchri01
53,Jason Bates#,25,COL,NL,88,187,160,19,33,8,1,1,9,2,1,23,34,.206,.312,.288,.599,47,46,7,2,1,1,1,H465,batesja01
54,Miguel Batista,25,FLA,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,batismi01
55,Tony Batista,22,OAK,AL,74,260,238,38,71,10,2,6,25,7,3,19,49,.298,.350,.433,.783,96,103,2,1,0,2,0,45H/D6,batisto01
56,Kim Batiste,28,SFG,NL,54,136,130,17,27,6,0,3,11,3,3,5,33,.208,.235,.323,.558,49,42,4,0,0,1,1,5H/6,batiski01
57,Allen Battle,27,OAK,AL,47,151,130,20,25,3,0,1,5,10,2,17,26,.192,.293,.238,.532,37,31,3,2,1,1,1,87/H,battlal01
58,Howard Battle,24,PHI,NL,5,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H5,battlho01
59,Danny Bautista,24,TOT,MLB,42,96,84,13,19,2,0,2,9,1,2,11,20,.226,.323,.321,.644,65,27,4,1,0,0,0,97H/8D,bautida01
60,Danny Bautista,24,DET,AL,25,73,64,12,16,2,0,2,8,1,2,9,15,.250,.342,.375,.717,82,24,1,0,0,0,0,79/HD,bautida01
61,Danny Bautista,24,ATL,NL,17,23,20,1,3,0,0,0,1,0,0,2,5,.150,.261,.150,.411,10,3,3,1,0,0,0,9/H87,bautida01
62,Jose Bautista,31,SFG,NL,37,10,9,1,1,0,0,0,0,0,0,0,4,.111,.111,.111,.222,-40,1,0,0,1,0,0,1,bautijo01
63,Trey Beamon*,22,PIT,NL,24,56,51,7,11,2,0,0,6,1,1,4,6,.216,.273,.255,.528,39,13,0,0,1,0,0,H9/7,beamotr01
64,Rod Beck,27,SFG,NL,63,3,3,0,1,0,0,0,1,0,0,0,2,.333,.333,.333,.667,81,1,0,0,0,0,0,1,beckro01
65,Rich Becker*,24,MIN,AL,148,606,525,92,153,31,4,12,71,19,5,68,118,.291,.372,.434,.807,103,228,14,2,5,4,1,*87H9,beckeri01
66,Robbie Beckett,23,COL,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,beckero01
67,Matt Beech*,24,PHI,NL,8,14,14,1,1,0,0,0,1,0,0,0,4,.071,.071,.071,.143,-62,1,0,0,0,0,0,/1,beechma01
68,Tim Belk,26,CIN,NL,7,16,15,2,3,0,0,0,0,0,0,1,2,.200,.250,.200,.450,21,3,0,0,0,0,0,/3H,belkti01
69,David Bell,23,STL,NL,62,158,145,12,31,6,0,1,9,1,1,10,22,.214,.268,.276,.543,45,40,3,1,0,1,2,54/H6,bellda01
70,Derek Bell,27,HOU,NL,158,684,627,84,165,40,3,17,113,29,3,40,123,.263,.311,.418,.729,98,262,18,8,0,9,8,*9/8H,bellde01
71,Jay Bell,30,PIT,NL,151,598,527,65,132,29,3,13,71,6,4,54,108,.250,.323,.391,.714,85,206,10,5,6,6,5,*6/H,bellja01
72,Albert Belle,29,CLE,AL,158,715,602,124,187,38,3,48,148,11,0,99,87,.311,.410,.623,1.033,158,375,20,7,0,7,15,*7/D,belleal01
73,Rafael Belliard,34,ATL,NL,87,148,142,9,24,7,0,0,3,3,1,2,22,.169,.179,.218,.398,2,31,6,0,3,1,0,6H4,bellira01
74,Esteban Beltre,28,BOS,AL,27,68,62,6,16,2,0,0,6,1,0,4,14,.258,.299,.290,.589,50,18,1,0,1,1,0,5/46HD,beltres01
75,Marvin Benard*,25,SFG,NL,135,558,488,89,121,17,4,5,27,25,11,59,84,.248,.333,.330,.663,80,161,8,4,6,1,2,*89/H7,benarma01
76,Alan Benes,24,STL,NL,34,70,61,4,9,3,0,0,5,0,0,2,25,.148,.175,.197,.371,-1,12,1,0,7,0,0,1,benesal01
77,Andy Benes,28,STL,NL,36,85,73,5,11,4,0,0,6,0,0,1,37,.151,.158,.205,.363,-4,15,0,0,9,2,0,1,benesan01
78,Yamil Benitez,23,MON,NL,11,12,12,0,2,0,0,0,2,0,0,0,4,.167,.167,.167,.333,-12,2,0,0,0,0,0,/H79,benitya01
79,Mike Benjamin,30,PHI,NL,35,118,103,13,23,5,1,4,13,3,1,12,21,.223,.316,.408,.724,91,42,2,2,1,0,5,6/H4,benjami01
80,Gary Bennett,24,PHI,NL,6,18,16,0,4,0,0,0,1,0,0,2,6,.250,.333,.250,.583,58,4,0,0,0,0,1,/2H,bennega01
81,Sean Bergman,26,SDP,NL,43,30,30,1,3,0,0,1,5,0,0,0,9,.100,.100,.200,.300,-21,6,0,0,0,0,0,1/H,bergmse01
82,Geronimo Berroa,31,OAK,AL,153,643,586,101,170,32,1,36,106,0,3,47,122,.290,.344,.532,.876,117,312,16,4,0,6,0,D97/H,berroge01
83,Sean Berry,30,HOU,NL,132,469,431,55,121,38,1,17,95,12,6,23,58,.281,.328,.492,.820,121,212,11,9,2,4,1,*5H,berryse01
84,Andres Berumen,25,SDP,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,beruman01
85,Dante Bichette,32,COL,NL,159,694,633,114,198,39,3,31,141,31,12,45,105,.313,.359,.531,.890,112,336,18,6,0,10,4,*97/H,bicheda01
